PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,CERATIZIT,WNT PUNTA D6,D6,11 703 06000,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D6.3,D6.3,11 704 06300,PUNTA,0,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D6.3,D6.3,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D6.8,D6.8,11 702 06800,PUNTA,5,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D3 108GF,D3,30061250,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D2,D2,,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D4,D4,68SX040061680DM,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D3,D3,,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D8,D8,,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D10,D10,109F.100103072,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D8,D8,108F.0800840100,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA D8,D8,109F.080082563,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA SPECIALE D5,D5,11050061660,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA SPECIALE D3,D3,1084030061250,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERIN,FRESA DIAMANTATA SPECIALE D3.3,D3.3,H7NA42008,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,DC,MASCHIO AMERICANO 1/4  28 3B,1/4, ,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,DC,MASCHIO AMERICANO 5/16  UNF 2BX,5/16,,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL000400000258,DIAEDGE,INSERTO TPGX TPGX090204,,,INSERTI,17,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,DORMER,MASCHIO AMERICANO 1/4  20 UNC,1/4,,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,DORMER,MASCHIO AMERICANO 3/8  STRAIGHT FLUTE,3/8,,MASCHIO,1,AMERICANO,USATO,MASCHI A,,TRUE,,,,,,
,DSN,UTENSILE DA DISEGNO AIRBUS RAFF02985,,,FRESA,1,AIRBUS,NUOVO,PUNTE 1.6 PANNELLI,,TRUE,,,,,,
